rank,mrmr_mean,mrmr_max
59,"value__fft_coefficient__attr_""imag""__coeff_30","value__fft_coefficient__attr_""angle""__coeff_98"
60,value__ratio_beyond_r_sigma__r_7,"value__fft_coefficient__attr_""imag""__coeff_23"
61,"value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""min""",value__spkt_welch_density__coeff_2
62,"value__fft_coefficient__attr_""angle""__coeff_61","value__fft_coefficient__attr_""real""__coeff_8"
63,value__energy_ratio_by_chunks__num_segments_10__segment_focus_0,"value__fft_coefficient__attr_""real""__coeff_90"
64,"value__fft_coefficient__attr_""abs""__coeff_54","value__fft_coefficient__attr_""real""__coeff_2"
65,"value__agg_autocorrelation__f_agg_""var""__maxlag_40","value__fft_coefficient__attr_""real""__coeff_88"
66,"value__fft_coefficient__attr_""angle""__coeff_63","value__fft_coefficient__attr_""real""__coeff_3"
67,value__count_below_mean,value__last_location_of_minimum
68,"value__fft_coefficient__attr_""abs""__coeff_24","value__fft_coefficient__attr_""angle""__coeff_39"
69,"value__fft_coefficient__attr_""angle""__coeff_94","value__fft_coefficient__attr_""angle""__coeff_14"
70,"value__fft_coefficient__attr_""imag""__coeff_32","value__fft_coefficient__attr_""real""__coeff_86"
71,value__ar_coefficient__coeff_3__k_10,"value__fft_coefficient__attr_""angle""__coeff_74"
72,"value__fft_coefficient__attr_""real""__coeff_4",value__autocorrelation__lag_0
73,"value__fft_coefficient__attr_""real""__coeff_8",value__mean_second_derivative_central
74,"value__fft_coefficient__attr_""abs""__coeff_3","value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""min"""
75,"value__fft_coefficient__attr_""angle""__coeff_54","value__fft_coefficient__attr_""imag""__coeff_25"
76,"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.2","value__fft_coefficient__attr_""angle""__coeff_99"
77,"value__fft_coefficient__attr_""abs""__coeff_2","value__fft_coefficient__attr_""angle""__coeff_75"
78,"value__fft_coefficient__attr_""imag""__coeff_26",value__ratio_beyond_r_sigma__r_5
79,value__index_mass_quantile__q_0.6,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.6"
80,"value__fft_coefficient__attr_""imag""__coeff_2","value__fft_coefficient__attr_""angle""__coeff_47"
81,"value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""min""","value__fft_coefficient__attr_""real""__coeff_1"
82,value__permutation_entropy__dimension_3__tau_1,value__ar_coefficient__coeff_10__k_10
83,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.2","value__fft_coefficient__attr_""abs""__coeff_12"
84,"value__fft_coefficient__attr_""abs""__coeff_16","value__fft_coefficient__attr_""real""__coeff_72"
85,"value__fft_coefficient__attr_""angle""__coeff_0","value__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""var"""
86,"value__fft_coefficient__attr_""real""__coeff_14","value__fft_coefficient__attr_""angle""__coeff_65"
87,"value__fft_coefficient__attr_""real""__coeff_84",value__standard_deviation
88,"value__fft_coefficient__attr_""angle""__coeff_14","value__augmented_dickey_fuller__attr_""usedlag""__autolag_""AIC"""
89,"value__fft_coefficient__attr_""abs""__coeff_4","value__fft_coefficient__attr_""real""__coeff_40"
90,"value__fft_coefficient__attr_""imag""__coeff_87",value__benford_correlation
91,value__kurtosis,"value__fft_coefficient__attr_""real""__coeff_44"
