,precision,recall,f1-score,support
CO2_post,0.6538461538461539,0.5930232558139535,0.6219512195121951,86.0
N2_post,0.6976744186046512,0.7894736842105263,0.7407407407407407,38.0
O3_post,0.5882352941176471,0.8695652173913043,0.7017543859649122,23.0
prestimulus,0.7266187050359713,0.6870748299319728,0.7062937062937062,147.0
accuracy,0.6870748299319728,0.6870748299319728,0.6870748299319728,0.6870748299319728
macro avg,0.6665936429011058,0.7347842468369392,0.6926850131278885,294.0
weighted avg,0.6907644848392505,0.6870748299319728,0.6857193154032813,294.0
test_accuracy,0.4435483870967742,0.4435483870967742,0.4435483870967742,372.0
train_accuracy,1.0,1.0,1.0,2352.0
