,precision,recall,f1-score,support
CO2_post,0.6388888888888888,0.5897435897435898,0.6133333333333333,78.0
N2_post,0.65625,0.6885245901639344,0.672,61.0
O3_post,0.7407407407407407,0.8,0.7692307692307693,25.0
prestimulus,0.7090909090909091,0.7134146341463414,0.7112462006079028,164.0
accuracy,0.6859756097560976,0.6859756097560976,0.6859756097560976,0.6859756097560976
macro avg,0.6862426346801347,0.6979207035134664,0.6914525757930013,328.0
weighted avg,0.6849817406791493,0.6859756097560976,0.6850827625928819,328.0
test_accuracy,0.5576923076923077,0.5576923076923077,0.5576923076923077,208.0
train_accuracy,1.0,1.0,1.0,2612.0
