,precision,recall,f1-score,support
CO2_post,0.5492957746478874,0.527027027027027,0.5379310344827586,74.0
prestimulus,0.5454545454545454,0.5675675675675675,0.5562913907284768,74.0
accuracy,0.5472972972972973,0.5472972972972973,0.5472972972972973,0.5472972972972973
macro avg,0.5473751600512164,0.5472972972972973,0.5471112126056177,148.0
weighted avg,0.5473751600512163,0.5472972972972973,0.5471112126056177,148.0
test_accuracy,0.6470588235294118,0.6470588235294118,0.6470588235294118,136.0
train_accuracy,1.0,1.0,1.0,662.0
