,precision,recall,f1-score,support
CO2_post,0.6507936507936508,0.5774647887323944,0.6119402985074627,71.0
N2_post,0.66,0.6,0.6285714285714286,55.0
O3_post,0.5,0.6842105263157895,0.5777777777777777,19.0
prestimulus,0.6688741721854304,0.696551724137931,0.6824324324324325,145.0
accuracy,0.6482758620689655,0.6482758620689655,0.6482758620689655,0.6482758620689655
macro avg,0.6199169557447703,0.6395567597965287,0.6251804843222754,290.0
weighted avg,0.6517003592180574,0.6482758620689655,0.6481023111928927,290.0
test_accuracy,0.467005076142132,0.467005076142132,0.467005076142132,394.0
train_accuracy,1.0,1.0,1.0,2316.0
