,precision,recall,f1-score,support
O3_post,0.5384615384615384,0.1590909090909091,0.24561403508771928,44.0
prestimulus,0.5066666666666667,0.8636363636363636,0.6386554621848739,44.0
accuracy,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.5113636363636364
macro avg,0.5225641025641026,0.5113636363636364,0.4421347486362966,88.0
weighted avg,0.5225641025641026,0.5113636363636364,0.44213474863629665,88.0
test_accuracy,0.5113636363636364,0.5113636363636364,0.5113636363636364,88.0
train_accuracy,0.9285714285714286,0.9285714285714286,0.9285714285714286,196.0
