,precision,recall,f1-score,support
CO2_post,0.5747126436781609,0.6756756756756757,0.6211180124223602,74.0
N2_post,0.6470588235294118,0.7457627118644068,0.6929133858267716,59.0
O3_post,0.75,0.36,0.4864864864864865,25.0
prestimulus,0.6442953020134228,0.6075949367088608,0.6254071661237784,158.0
accuracy,0.629746835443038,0.629746835443038,0.629746835443038,0.629746835443038
macro avg,0.6540166923052488,0.5972583310622358,0.6064812627148491,316.0
weighted avg,0.6368793162612025,0.629746835443038,0.6260161933314978,316.0
test_accuracy,0.582089552238806,0.582089552238806,0.582089552238806,268.0
train_accuracy,1.0,1.0,1.0,1324.0
