rank,mrmr_mean,mrmr_max
121,"value__fft_coefficient__attr_""real""__coeff_60","value__fft_coefficient__attr_""angle""__coeff_71"
122,"value__fft_coefficient__attr_""imag""__coeff_9",value__ratio_beyond_r_sigma__r_10
123,"value__fft_coefficient__attr_""angle""__coeff_71","value__linear_trend__attr_""pvalue"""
124,value__symmetry_looking__r_0.2,value__skewness
125,"value__fft_coefficient__attr_""imag""__coeff_2","value__fft_coefficient__attr_""real""__coeff_89"
126,value__percentage_of_reoccurring_datapoints_to_all_datapoints,"value__fft_coefficient__attr_""real""__coeff_38"
127,value__ratio_beyond_r_sigma__r_2,"value__fft_coefficient__attr_""imag""__coeff_10"
128,"value__fft_coefficient__attr_""angle""__coeff_79","value__fft_coefficient__attr_""imag""__coeff_29"
129,"value__cwt_coefficients__coeff_10__w_2__widths_(2, 5, 10, 20)","value__fft_aggregated__aggtype_""variance"""
130,value__partial_autocorrelation__lag_8,value__standard_deviation
131,"value__fft_coefficient__attr_""imag""__coeff_1","value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""var"""
132,"value__fft_coefficient__attr_""imag""__coeff_37","value__fft_coefficient__attr_""angle""__coeff_55"
133,value__fourier_entropy__bins_10,"value__fft_coefficient__attr_""real""__coeff_61"
134,"value__fft_coefficient__attr_""real""__coeff_43","value__fft_coefficient__attr_""imag""__coeff_14"
135,"value__fft_coefficient__attr_""angle""__coeff_21","value__cwt_coefficients__coeff_11__w_2__widths_(2, 5, 10, 20)"
136,value__index_mass_quantile__q_0.8,"value__fft_coefficient__attr_""real""__coeff_10"
137,value__kurtosis,"value__fft_coefficient__attr_""real""__coeff_53"
138,"value__fft_coefficient__attr_""abs""__coeff_30","value__fft_coefficient__attr_""imag""__coeff_74"
139,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2","value__fft_coefficient__attr_""abs""__coeff_62"
140,"value__fft_coefficient__attr_""imag""__coeff_34","value__fft_coefficient__attr_""imag""__coeff_89"
141,value__index_mass_quantile__q_0.9,"value__fft_coefficient__attr_""real""__coeff_19"
