rank,mrmr_mean,mrmr_max
58,"value__agg_autocorrelation__f_agg_""var""__maxlag_40","value__fft_coefficient__attr_""angle""__coeff_98"
59,"value__fft_coefficient__attr_""angle""__coeff_61","value__fft_coefficient__attr_""imag""__coeff_23"
60,"value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""min""",value__last_location_of_minimum
61,"value__fft_coefficient__attr_""abs""__coeff_54",value__spkt_welch_density__coeff_2
62,"value__fft_coefficient__attr_""angle""__coeff_63","value__fft_coefficient__attr_""real""__coeff_8"
63,value__ar_coefficient__coeff_3__k_10,"value__fft_coefficient__attr_""real""__coeff_90"
64,"value__fft_coefficient__attr_""angle""__coeff_94",value__percentage_of_reoccurring_values_to_all_values
65,"value__fft_coefficient__attr_""abs""__coeff_24",value__fourier_entropy__bins_3
66,"value__fft_coefficient__attr_""real""__coeff_4","value__fft_coefficient__attr_""real""__coeff_2"
67,"value__fft_coefficient__attr_""imag""__coeff_32","value__fft_coefficient__attr_""real""__coeff_88"
68,"value__fft_coefficient__attr_""real""__coeff_8","value__fft_coefficient__attr_""real""__coeff_3"
69,"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.2","value__fft_coefficient__attr_""angle""__coeff_39"
70,"value__fft_coefficient__attr_""angle""__coeff_54","value__fft_coefficient__attr_""angle""__coeff_14"
71,"value__fft_coefficient__attr_""abs""__coeff_3",value__number_crossing_m__m_1
72,value__permutation_entropy__dimension_3__tau_1,"value__fft_coefficient__attr_""real""__coeff_86"
73,"value__fft_coefficient__attr_""imag""__coeff_26","value__fft_coefficient__attr_""angle""__coeff_74"
74,"value__fft_coefficient__attr_""abs""__coeff_2","value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""min"""
75,value__kurtosis,"value__fft_coefficient__attr_""imag""__coeff_25"
76,"value__fft_coefficient__attr_""imag""__coeff_2","value__fft_coefficient__attr_""angle""__coeff_99"
77,"value__fft_coefficient__attr_""real""__coeff_14",value__approximate_entropy__m_2__r_0.1
78,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.2","value__fft_coefficient__attr_""angle""__coeff_75"
79,"value__fft_coefficient__attr_""abs""__coeff_16","value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.6"
80,"value__fft_coefficient__attr_""real""__coeff_84","value__fft_coefficient__attr_""angle""__coeff_47"
