,precision,recall,f1-score,support
CO2_post,0.581081081081081,0.524390243902439,0.5512820512820513,82.0
N2_post,0.5909090909090909,0.7959183673469388,0.6782608695652174,49.0
O3_post,0.6666666666666666,0.7777777777777778,0.717948717948718,18.0
prestimulus,0.7007299270072993,0.6442953020134228,0.6713286713286714,149.0
accuracy,0.6442953020134228,0.6442953020134228,0.6442953020134228,0.6442953020134228
macro avg,0.6348466914160344,0.6855954227601446,0.6547050775311645,298.0
weighted avg,0.6476911182123547,0.6442953020134228,0.6422515428351437,298.0
test_accuracy,0.6039325842696629,0.6039325842696629,0.6039325842696629,356.0
train_accuracy,0.9776936026936027,0.9776936026936027,0.9776936026936027,2376.0
