,precision,recall,f1-score,support
CO2_post,0.6352941176470588,0.7941176470588235,0.7058823529411765,68.0
prestimulus,0.7254901960784313,0.5441176470588235,0.6218487394957983,68.0
accuracy,0.6691176470588235,0.6691176470588235,0.6691176470588235,0.6691176470588235
macro avg,0.6803921568627451,0.6691176470588235,0.6638655462184875,136.0
weighted avg,0.6803921568627451,0.6691176470588235,0.6638655462184874,136.0
test_accuracy,0.6691176470588235,0.6691176470588235,0.6691176470588235,136.0
train_accuracy,0.8061728395061728,0.8061728395061728,0.8061728395061728,810.0
