,precision,recall,f1-score,support
CO2_post,0.6129032258064516,0.8382352941176471,0.7080745341614907,68.0
prestimulus,0.7441860465116279,0.47058823529411764,0.5765765765765766,68.0
accuracy,0.6544117647058824,0.6544117647058824,0.6544117647058824,0.6544117647058824
macro avg,0.6785446361590397,0.6544117647058824,0.6423255553690337,136.0
weighted avg,0.6785446361590397,0.6544117647058824,0.6423255553690336,136.0
test_accuracy,0.6544117647058824,0.6544117647058824,0.6544117647058824,136.0
train_accuracy,0.9135802469135802,0.9135802469135802,0.9135802469135802,810.0
