,precision,recall,f1-score,support
CO2_post,0.5375,0.5512820512820513,0.5443037974683544,78.0
N2_post,0.6721311475409836,0.6721311475409836,0.6721311475409836,61.0
O3_post,0.7142857142857143,0.8,0.7547169811320755,25.0
prestimulus,0.6855345911949685,0.6646341463414634,0.6749226006191951,164.0
accuracy,0.649390243902439,0.649390243902439,0.649390243902439,0.649390243902439
macro avg,0.6523628632554166,0.6720118362911246,0.6615186316901521,328.0
weighted avg,0.6500299262595052,0.649390243902439,0.6494235586353094,328.0
test_accuracy,0.6057692307692307,0.6057692307692307,0.6057692307692307,208.0
train_accuracy,0.9605666156202144,0.9605666156202144,0.9605666156202144,2612.0
