,precision,recall,f1-score,support
CO2_post,0.6862745098039216,0.4268292682926829,0.5263157894736842,82.0
prestimulus,0.584070796460177,0.8048780487804879,0.676923076923077,82.0
accuracy,0.6158536585365854,0.6158536585365854,0.6158536585365854,0.6158536585365854
macro avg,0.6351726531320493,0.6158536585365854,0.6016194331983806,164.0
weighted avg,0.6351726531320493,0.6158536585365854,0.6016194331983806,164.0
test_accuracy,0.6158536585365854,0.6158536585365854,0.6158536585365854,164.0
train_accuracy,0.9102167182662538,0.9102167182662538,0.9102167182662538,646.0
