,precision,recall,f1-score,support
O3_post,0.7272727272727273,0.36363636363636365,0.48484848484848486,44.0
prestimulus,0.5757575757575758,0.8636363636363636,0.6909090909090909,44.0
accuracy,0.6136363636363636,0.6136363636363636,0.6136363636363636,0.6136363636363636
macro avg,0.6515151515151516,0.6136363636363636,0.5878787878787879,88.0
weighted avg,0.6515151515151515,0.6136363636363636,0.5878787878787879,88.0
test_accuracy,0.6136363636363636,0.6136363636363636,0.6136363636363636,88.0
train_accuracy,1.0,1.0,1.0,196.0
