,precision,recall,f1-score,support
CO2_post,0.6933333333333334,0.6341463414634146,0.6624203821656051,82.0
N2_post,0.6379310344827587,0.7551020408163265,0.6915887850467289,49.0
O3_post,0.5714285714285714,0.6666666666666666,0.6153846153846154,18.0
prestimulus,0.75,0.7248322147651006,0.7372013651877133,149.0
accuracy,0.7013422818791947,0.7013422818791947,0.7013422818791947,0.7013422818791947
macro avg,0.6631732348111659,0.695186815927877,0.6766487869461657,298.0
weighted avg,0.705193517814439,0.7013422818791947,0.7017659338750393,298.0
test_accuracy,0.5955056179775281,0.5955056179775281,0.5955056179775281,356.0
train_accuracy,1.0,1.0,1.0,2376.0
