order,time,runtime,pipeline,default_hp,f1_macro,accuracy,neg_log_loss,new_best,evaluation_report,status,exception,data-pre-processor_class,data-pre-processor_hps,feature-pre-processor_class,feature-pre-processor_hps,learner_class,learner_hps
36,1783344858.2942421,5.025684833526611,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=True,
                                                l2_regularization=0.0036859669958,
                                                learning_rate=0.3312368286104,
                                                max_iter=512, max_leaf_nodes=10,
                                                min_samples_leaf=1,
                                                n_iter_no_change=6,
                                                validation_fraction=0.2926432623782,
                                                warm_start=True))])",False,0.3352,0.4724,-1.6767,False,"{'f1_macro': [0.3133444323493628, 0.3633819945611153, 0.3333236179087019, 0.2931418627340613, 0.2871403369039923, 0.4208025859149862], 'accuracy': [0.5208333333333334, 0.49226804123711343, 0.4453125, 0.4550898203592814, 0.4269230769230769, 0.4939516129032258], 'neg_log_loss': [-1.696745475351823, -1.5861306837576965, -1.7424326137835984, -1.4025272467591698, -2.1840126782273432, -1.4482487403563478]}",ok,,sklearn.feature_selection._variance_threshold.VarianceThreshold,,,,sklearn.ensemble.HistGradientBoostingClassifier,"{'early_stop': 'valid', 'l2_regularization': 0.0036859669958, 'learning_rate': 0.3312368286104, 'loss': 'log_loss', 'max_bins': 255, 'max_depth': 'None', 'max_leaf_nodes': 10, 'min_samples_leaf': 1, 'scoring': 'loss', 'tol': 1e-07, 'n_iter_no_change': 6, 'validation_fraction': 0.2926432623782}"
17,1783343873.220411,30.72179865837097,"Pipeline(steps=[('data-pre-processor', Normalizer()),
                ('learner', HistGradientBoostingClassifier())])",True,0.3326,0.49,-2.5474,False,"{'f1_macro': [0.37137212643678164, 0.2934276222637972, 0.3747446390052024, 0.33200517171048594, 0.28295669794282186, 0.34097554715098644], 'accuracy': [0.5476190476190477, 0.4793814432989691, 0.4869791666666667, 0.48502994011976047, 0.46923076923076923, 0.4717741935483871], 'neg_log_loss': [-2.7455338166481296, -2.3201735765607574, -2.176918493815681, -2.6189601581405912, -3.0195332128132506, -2.4035677772974755]}",ok,,sklearn.preprocessing._data.Normalizer,,,,sklearn.ensemble.HistGradientBoostingClassifier,
38,1783345261.4653976,5.706127405166626,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=True,
                                                l2_regularization=0.0071732343362,
                                                learning_rate=0.3715542101356,
                                                max_iter=512, max_leaf_nodes=19,
                                                min_samples_leaf=27,
                                                n_iter_no_change=7,
                                                validation_fraction=0.1773510293197,
                                                warm_start=True))])",False,0.329,0.4695,-1.7329,False,"{'f1_macro': [0.42798019274326066, 0.3204345562082135, 0.2630195756463505, 0.3301944042829206, 0.28667598224560253, 0.34595501313429733], 'accuracy': [0.5476190476190477, 0.4845360824742268, 0.3802083333333333, 0.49101796407185627, 0.45384615384615384, 0.4596774193548387], 'neg_log_loss': [-1.5966662368035227, -1.475687601863599, -1.6159091978334186, -1.7940462108994506, -2.3233932094966354, -1.59194367877865]}",ok,,sklearn.feature_selection._variance_threshold.VarianceThreshold,,,,sklearn.ensemble.HistGradientBoostingClassifier,"{'early_stop': 'valid', 'l2_regularization': 0.0071732343362, 'learning_rate': 0.3715542101356, 'loss': 'log_loss', 'max_bins': 255, 'max_depth': 'None', 'max_leaf_nodes': 19, 'min_samples_leaf': 27, 'scoring': 'loss', 'tol': 1e-07, 'n_iter_no_change': 7, 'validation_fraction': 0.1773510293197}"
33,1783344737.129397,4.759724378585815,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner',
                 HistGradientBoostingClassifier(early_stopping=True,
                                                l2_regularization=6.879901e-07,
                                                learning_rate=0.0994454413567,
                                                max_iter=512,
                                                max_leaf_nodes=166,
                                                min_samples_leaf=22,
                                                n_iter_no_change=1,
                                                validation_fraction=0.0275550986872,
                                                warm_start=True))])",False,0.3074,0.4904,-1.2089,False,"{'f1_macro': [0.2735994796892824, 0.33532135252481365, 0.2805514795793593, 0.2954306068777256, 0.27112403100775195, 0.38808522398002376], 'accuracy': [0.5148809523809523, 0.5180412371134021, 0.4635416666666667, 0.47904191616766467, 0.47307692307692306, 0.4939516129032258], 'neg_log_loss': [-1.0885548956306366, -1.0931992717398733, -1.229276438045227, -1.2272907741498087, -1.37983467337566, -1.2350955648895587]}",ok,,sklearn.feature_selection._variance_threshold.VarianceThreshold,,,,sklearn.ensemble.HistGradientBoostingClassifier,"{'early_stop': 'valid', 'l2_regularization': 6.879901e-07, 'learning_rate': 0.0994454413567, 'loss': 'log_loss', 'max_bins': 255, 'max_depth': 'None', 'max_leaf_nodes': 166, 'min_samples_leaf': 22, 'scoring': 'loss', 'tol': 1e-07, 'n_iter_no_change': 1, 'validation_fraction': 0.0275550986872}"
7,1783343514.0472362,2.2420434951782227,"Pipeline(steps=[('learner', LinearDiscriminantAnalysis())])",True,0.2986,0.3743,-11.516,False,"{'f1_macro': [0.29650165118659083, 0.3177634138233464, 0.311813007860802, 0.25590479672944816, 0.29055598872672045, 0.3192897973863865], 'accuracy': [0.38095238095238093, 0.3865979381443299, 0.3385416666666667, 0.4251497005988024, 0.3576923076923077, 0.35685483870967744], 'neg_log_loss': [-11.596969466788716, -9.069985139266215, -12.43093880914371, -5.812917149201095, -11.056925936261726, -19.128123965131852]}",ok,,,,,,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,
6,1783343511.804189,0.40527892112731934,"Pipeline(steps=[('learner', KNeighborsClassifier())])",True,0.2771,0.3439,-7.1442,False,"{'f1_macro': [0.31400081651305867, 0.26673556468976317, 0.2805949238743709, 0.2688301282051282, 0.21768107201469672, 0.3144870794058005], 'accuracy': [0.36607142857142855, 0.3582474226804124, 0.3385416666666667, 0.3473053892215569, 0.29615384615384616, 0.35685483870967744], 'neg_log_loss': [-6.208286663119108, -7.910713620557385, -7.965456783862428, -6.056186903637101, -7.493770627062804, -7.231022910901908]}",ok,,,,,,sklearn.neighbors._classification.KNeighborsClassifier,
14,1783343842.4769049,6.068471670150757,"Pipeline(steps=[('learner', MLPClassifier())])",True,0.268,0.3621,-22.2749,False,"{'f1_macro': [0.29209198942772846, 0.23463732728780556, 0.22997726919649064, 0.2847320508610831, 0.2513113686440162, 0.31543114681459083], 'accuracy': [0.3541666666666667, 0.2551546391752577, 0.23697916666666666, 0.47005988023952094, 0.47307692307692306, 0.38306451612903225], 'neg_log_loss': [-22.391340845563718, -26.210517566240604, -27.173778291674655, -17.876557575717722, -18.505568181730624, -21.491515768860822]}",ok,,,,,,sklearn.neural_network._multilayer_perceptron.MLPClassifier,
3,1783343506.8516493,0.3213651180267334,"Pipeline(steps=[('learner', BernoulliNB())])",True,0.2637,0.2854,-20.6186,False,"{'f1_macro': [0.23339868454338478, 0.28779586512072675, 0.4030226184563477, 0.13554685637358482, 0.24111843704566877, 0.28148766588905927], 'accuracy': [0.2857142857142857, 0.3015463917525773, 0.4088541666666667, 0.1437125748502994, 0.28846153846153844, 0.2842741935483871], 'neg_log_loss': [-20.137703669004665, -20.272904722700886, -14.880700795533324, -26.93642422398622, -21.078367479503996, -20.405285100443777]}",ok,,,,,,sklearn.naive_bayes.BernoulliNB,
28,1783344249.9852226,34.77522611618042,"Pipeline(steps=[('feature-pre-processor', PCA()),
                ('learner', HistGradientBoostingClassifier())])",True,0.2282,0.4549,-2.2475,False,"{'f1_macro': [0.24218416346359173, 0.2525145280784379, 0.25091839735535804, 0.17617645727914225, 0.19313052143934498, 0.2539791195373432], 'accuracy': [0.49702380952380953, 0.4536082474226804, 0.4713541666666667, 0.44610778443113774, 0.4115384615384615, 0.4495967741935484], 'neg_log_loss': [-1.9133454013441127, -2.3668780439344563, -1.7351574026725014, -2.3428322203637766, -2.9065716327368105, -2.220176961801309]}",ok,,,,sklearn.decomposition._pca.PCA,,sklearn.ensemble.HistGradientBoostingClassifier,
23,1783344215.185708,312.12360858917236,"Pipeline(steps=[('feature-pre-processor', FastICA()),
                ('learner', HistGradientBoostingClassifier())])",True,0.2031,0.43,-2.4544,False,"{'f1_macro': [0.19312397372742202, 0.20298799810365048, 0.205218064230833, 0.190282401098501, 0.20599944092142403, 0.2209612990246939], 'accuracy': [0.4494047619047619, 0.46649484536082475, 0.375, 0.437125748502994, 0.38846153846153847, 0.4637096774193548], 'neg_log_loss': [-2.1144420903096175, -2.3258314064427337, -3.3016726770587823, -2.060100572483603, -2.444356924671893, -2.4801860382471355]}",ok,,,,sklearn.decomposition._fastica.FastICA,,sklearn.ensemble.HistGradientBoostingClassifier,
8,1783343515.8085246,1.7601888179779053,"Pipeline(steps=[('learner', QuadraticDiscriminantAnalysis())])",True,0.1943,0.3993,-21.6508,False,"{'f1_macro': [0.23741674942599544, 0.2165817479064671, 0.17875009904257483, 0.16227180527383367, 0.18534071870734584, 0.1851922587216705], 'accuracy': [0.28869047619047616, 0.2036082474226804, 0.4427083333333333, 0.47904191616766467, 0.5, 0.48185483870967744], 'neg_log_loss': [-25.638193928568448, -28.704868291848445, -20.086827669976746, -18.777232603911326, -18.021826694558577, -18.675844598796587]}",ok,,,,,,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,
13,1783343836.404775,13.442157745361328,"Pipeline(steps=[('learner', LogisticRegression())])",True,0.1899,0.4933,-1.2994,False,"{'f1_macro': [0.16666666666666666, 0.20408636026686433, 0.2097218484335175, 0.1957701222081753, 0.16666666666666666, 0.19624122953558304], 'accuracy': [0.5, 0.4896907216494845, 0.5078125, 0.46407185628742514, 0.5, 0.49798387096774194], 'neg_log_loss': [-1.1245833713506899, -1.211582719996439, -1.4895436581260508, -1.4028069822022238, -1.198482569733414, -1.3696387791056273]}",ok,,,,,,sklearn.linear_model.LogisticRegression,
