,precision,recall,f1-score,support
CO2_post,0.5581395348837209,0.32432432432432434,0.41025641025641024,74.0
N2_post,0.7169811320754716,0.6440677966101694,0.6785714285714286,59.0
O3_post,0.6842105263157895,0.52,0.5909090909090909,25.0
prestimulus,0.6169154228855721,0.7848101265822784,0.6908077994428969,158.0
accuracy,0.629746835443038,0.629746835443038,0.629746835443038,0.629746835443038
macro avg,0.6440616540401385,0.568300561879193,0.5926361822949566,316.0
weighted avg,0.6271585833786814,0.629746835443038,0.6149210387006129,316.0
test_accuracy,0.5783582089552238,0.5783582089552238,0.5783582089552238,268.0
train_accuracy,1.0,1.0,1.0,1258.0
