source,approach,n_features,split,accuracy,f1_score
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,9,train,0.7808219178082192,0.7806572769953051
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,9,val,0.72,0.7181964573268921
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,9,test,0.6136363636363636,0.5925925925925926
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,10,train,0.7808219178082192,0.7806572769953051
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,10,val,0.72,0.7181964573268921
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,10,test,0.6136363636363636,0.5925925925925926
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,11,train,0.7808219178082192,0.7806572769953051
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,11,val,0.72,0.7181964573268921
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,11,test,0.6136363636363636,0.5925925925925926
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,12,train,0.7945205479452054,0.7941729323308271
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,12,val,0.74,0.7373737373737375
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,12,test,0.6136363636363636,0.5925925925925926
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,13,train,0.8013698630136986,0.8012859623597879
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,13,val,0.8,0.7996794871794872
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,13,test,0.5909090909090909,0.5636363636363636
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,14,train,0.815068493150685,0.8150598170302603
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,14,val,0.8,0.7996794871794872
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,14,test,0.6931818181818182,0.6840005319856364
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,15,train,0.8356164383561644,0.8356164383561644
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,15,val,0.78,0.779205138498595
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,15,test,0.7045454545454546,0.6968733439321675
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,16,train,0.8493150684931506,0.8492867867867868
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,16,val,0.78,0.779205138498595
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,16,test,0.7386363636363636,0.7344877344877345
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,17,train,0.8561643835616438,0.8561036279157084
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,17,val,0.76,0.7584541062801933
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,17,test,0.7386363636363636,0.7344877344877345
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,18,train,0.8561643835616438,0.8561036279157084
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,18,val,0.76,0.7584541062801933
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,18,test,0.7386363636363636,0.7344877344877345
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,19,train,0.8493150684931506,0.8492018779342723
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,19,val,0.76,0.7584541062801933
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,19,test,0.75,0.7467294610151753
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,20,train,0.8767123287671232,0.8765037593984962
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,20,val,0.66,0.6565656565656566
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,20,test,0.7272727272727273,0.7237048665620094
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,21,train,0.8904109589041096,0.8902255639097745
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,21,val,0.7,0.6989160979526294
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,21,test,0.7272727272727273,0.7237048665620094
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,22,train,0.8835616438356164,0.8832933653077537
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,22,val,0.7,0.696969696969697
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,22,test,0.7159090909090909,0.7113997113997115
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,23,train,0.8835616438356164,0.8834249213282608
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,23,val,0.7,0.696969696969697
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,23,test,0.7272727272727273,0.7237048665620094
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,24,train,0.8767123287671232,0.8765037593984962
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,24,val,0.7,0.696969696969697
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,24,test,0.7159090909090909,0.7113997113997115
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,25,train,0.8767123287671232,0.8765037593984962
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,25,val,0.7,0.696969696969697
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,25,test,0.7159090909090909,0.7113997113997115
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,26,train,0.8767123287671232,0.8765037593984962
multivariate_ranked_features_gas-O3_keep-O3_post-prestimulus,mrmr_mean,26,val,0.7,0.696969696969697
