,precision,recall,f1-score,support
O3_post,1.0,0.7857142857142857,0.88,14.0
prestimulus,0.8235294117647058,1.0,0.9032258064516129,14.0
accuracy,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.8928571428571429
macro avg,0.9117647058823529,0.8928571428571428,0.8916129032258064,28.0
weighted avg,0.911764705882353,0.8928571428571429,0.8916129032258064,28.0
test_accuracy,0.8928571428571429,0.8928571428571429,0.8928571428571429,28.0
train_accuracy,1.0,1.0,1.0,168.0
