source,approach,n_features,split,accuracy,f1_score,fold
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,anova,10,test,0.45454545454545453,0.4307277628032345,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,anova,20,train,0.8392857142857143,0.8391432320295046,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,anova,20,val,0.8571428571428571,0.8564102564102565,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,anova,20,test,0.5113636363636364,0.45183253657829925,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,anova,30,train,0.8392857142857143,0.8390062111801242,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,anova,30,val,0.9285714285714286,0.9282051282051282,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,anova,30,test,0.5,0.4342489772063121,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,anova,50,train,0.8690476190476191,0.8689733408961997,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,anova,50,val,0.9285714285714286,0.9282051282051282,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,anova,50,test,0.5113636363636364,0.45183253657829925,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,anova,75,train,0.8869047619047619,0.886804496613355,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,anova,75,val,0.8928571428571429,0.8916129032258064,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,anova,75,test,0.5113636363636364,0.4421347486362966,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,anova,100,train,0.8869047619047619,0.886804496613355,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,anova,100,val,0.9285714285714286,0.9282051282051282,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,anova,100,test,0.5227272727272727,0.45996493278784334,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,anova,150,train,0.9107142857142857,0.9106858054226474,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,anova,150,val,0.8928571428571429,0.8916129032258064,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,anova,150,test,0.5,0.4238095238095238,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,relief,1,train,0.6190476190476191,0.5786833855799374,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,relief,1,val,0.75,0.7417654808959157,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,relief,1,test,0.7272727272727273,0.7090909090909091,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,relief,2,train,0.6190476190476191,0.5786833855799374,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,relief,2,val,0.75,0.7417654808959157,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,relief,2,test,0.7272727272727273,0.7090909090909091,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,relief,3,train,0.6190476190476191,0.5786833855799374,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,relief,3,val,0.75,0.7417654808959157,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,relief,3,test,0.7272727272727273,0.7090909090909091,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,relief,5,train,0.7023809523809523,0.6989247311827957,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,relief,5,val,0.7857142857142857,0.7846153846153847,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,relief,5,test,0.5113636363636364,0.46058446186742696,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,relief,10,train,0.75,0.7447916666666667,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,relief,10,val,0.6071428571428571,0.561877667140825,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,relief,10,test,0.4431818181818182,0.4425339366515837,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,relief,20,train,0.8511904761904762,0.8511852035573824,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,relief,20,val,0.5,0.49743589743589745,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,relief,20,test,0.4431818181818182,0.38531717747683536,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,relief,30,train,0.8571428571428571,0.8570618264322178,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,relief,30,val,0.8571428571428571,0.8564102564102565,0
univariate_ranked_features_gas-O3_keep-O3_post-prestimulus,relief,30,test,0.5454545454545454,0.4856808883693746,0
