source,approach,n_features,split,accuracy,f1_score,fold
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_mean,200,train,0.9566563467492261,0.9566559312936125,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_mean,200,val,0.6158536585365854,0.6141176470588235,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_mean,200,test,0.7205882352941176,0.7190693629049794,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_mean,300,train,0.9520123839009288,0.9520122689095767,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_mean,300,val,0.6341463414634146,0.6306306306306306,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_mean,300,test,0.7058823529411765,0.7042835398999783,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_mean,500,train,0.9643962848297214,0.9643955169695213,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_mean,500,val,0.6463414634146342,0.642942942942943,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_mean,500,test,0.7132352941176471,0.7113469387755103,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_max,1,train,0.6965944272445821,0.6962421311223707,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_max,1,val,0.4817073170731707,0.4773349330733756,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_max,1,test,0.5147058823529411,0.5146009085009734,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_max,2,train,0.7894736842105263,0.7894656122693506,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_max,2,val,0.5914634146341463,0.5902293492448256,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_max,2,test,0.5735294117647058,0.5731601731601732,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_max,3,train,0.8111455108359134,0.8111382698298586,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_max,3,val,0.6463414634146342,0.6458674609084141,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_max,3,test,0.5808823529411765,0.5790388270431713,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_max,5,train,0.8235294117647058,0.8235141871165644,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_max,5,val,0.6341463414634146,0.6296853831100406,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_max,5,test,0.6838235294117647,0.6817414965986395,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_max,10,train,0.8622291021671826,0.8622261308820605,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_max,10,val,0.6951219512195121,0.6949404761904762,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_max,10,test,0.7279411764705882,0.7272185179161923,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_max,15,train,0.8900928792569659,0.8900799727752254,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_max,15,val,0.6646341463414634,0.6618049566945372,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_max,15,test,0.7352941176470589,0.735236859182349,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_max,20,train,0.9102167182662538,0.9102029469001947,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_max,20,val,0.7012195121951219,0.6993302652748157,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_max,20,test,0.7352941176470589,0.735236859182349,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_max,30,train,0.93343653250774,0.9334363730036064,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_max,30,val,0.676829268292683,0.6762394308488844,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_max,30,test,0.7647058823529411,0.7645021645021646,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_max,40,train,0.9256965944272446,0.9256965944272446,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_max,40,val,0.6646341463414634,0.6640220508809178,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_max,40,test,0.6764705882352942,0.6707021791767555,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_max,50,train,0.93343653250774,0.9334363730036064,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_max,50,val,0.6524390243902439,0.6524261015058561,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_max,50,test,0.7205882352941176,0.7175956284153006,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_max,60,train,0.9427244582043344,0.9427243209565915,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_max,60,val,0.676829268292683,0.6765285996055226,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_max,60,test,0.6985294117647058,0.6981213794596937,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_max,75,train,0.9380804953560371,0.9380799018480177,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_max,75,val,0.6890243902439024,0.6890128276631344,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_max,75,test,0.7205882352941176,0.7183958151700087,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_max,100,train,0.9458204334365325,0.9458203036075866,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_max,100,val,0.676829268292683,0.6767210919775357,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_max,100,test,0.7132352941176471,0.7097039023589294,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_max,150,train,0.958204334365325,0.9582042342115669,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_max,150,val,0.676829268292683,0.6762394308488844,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_max,150,test,0.7279411764705882,0.7272185179161923,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_max,200,train,0.9659442724458205,0.9659439460164098,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_max,200,val,0.6524390243902439,0.6508683473389356,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_max,200,test,0.7279411764705882,0.7261496598639456,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_max,300,train,0.9690402476780186,0.9690399509240089,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_max,300,val,0.6341463414634146,0.6306306306306306,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_max,300,test,0.7205882352941176,0.7175956284153006,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_max,500,train,0.9674922600619195,0.9674884426518272,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_max,500,val,0.6341463414634146,0.6314606741573033,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_max,500,test,0.7132352941176471,0.7124735729386893,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,all_features,782,train,0.9721362229102167,0.9721362229102167,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,all_features,782,val,0.6219512195121951,0.6191760299625468,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,all_features,782,test,0.6911764705882353,0.6905742145178765,0
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_mean,1,train,0.6355311355311355,0.6354320801248176,1
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_mean,1,val,0.5833333333333334,0.5831180017226529,1
multivariate_ranked_features_gas-CO2_keep-CO2_post-prestimulus,mrmr_mean,1,test,0.5514705882352942,0.547334533748022,1
