source,approach,n_features,split,accuracy,f1_score
aggregated_ranked_features_gas-N2_keep-N2_post-prestimulus,mean,18,val,0.7457627118644068,0.7445887445887446
aggregated_ranked_features_gas-N2_keep-N2_post-prestimulus,mean,18,test,0.7045454545454546,0.6968733439321675
aggregated_ranked_features_gas-N2_keep-N2_post-prestimulus,mean,19,train,1.0,1.0
aggregated_ranked_features_gas-N2_keep-N2_post-prestimulus,mean,19,val,0.7711864406779662,0.7711700064641241
aggregated_ranked_features_gas-N2_keep-N2_post-prestimulus,mean,19,test,0.7045454545454546,0.6968733439321675
aggregated_ranked_features_gas-N2_keep-N2_post-prestimulus,mean,20,train,1.0,1.0
aggregated_ranked_features_gas-N2_keep-N2_post-prestimulus,mean,20,val,0.7288135593220338,0.7268518518518519
aggregated_ranked_features_gas-N2_keep-N2_post-prestimulus,mean,20,test,0.7045454545454546,0.6968733439321675
aggregated_ranked_features_gas-N2_keep-N2_post-prestimulus,mean,21,train,1.0,1.0
aggregated_ranked_features_gas-N2_keep-N2_post-prestimulus,mean,21,val,0.7288135593220338,0.7268518518518519
aggregated_ranked_features_gas-N2_keep-N2_post-prestimulus,mean,21,test,0.7045454545454546,0.6968733439321675
aggregated_ranked_features_gas-N2_keep-N2_post-prestimulus,mean,22,train,1.0,1.0
aggregated_ranked_features_gas-N2_keep-N2_post-prestimulus,mean,22,val,0.7288135593220338,0.728735632183908
aggregated_ranked_features_gas-N2_keep-N2_post-prestimulus,mean,22,test,0.6818181818181818,0.6644880174291938
aggregated_ranked_features_gas-N2_keep-N2_post-prestimulus,mean,23,train,1.0,1.0
aggregated_ranked_features_gas-N2_keep-N2_post-prestimulus,mean,23,val,0.7033898305084746,0.7016542656938525
aggregated_ranked_features_gas-N2_keep-N2_post-prestimulus,mean,23,test,0.6818181818181818,0.6644880174291938
aggregated_ranked_features_gas-N2_keep-N2_post-prestimulus,mean,24,train,1.0,1.0
aggregated_ranked_features_gas-N2_keep-N2_post-prestimulus,mean,24,val,0.6949152542372882,0.6941244239631337
aggregated_ranked_features_gas-N2_keep-N2_post-prestimulus,mean,24,test,0.7727272727272727,0.7649572649572649
aggregated_ranked_features_gas-N2_keep-N2_post-prestimulus,mean,25,train,1.0,1.0
aggregated_ranked_features_gas-N2_keep-N2_post-prestimulus,mean,25,val,0.6779661016949152,0.6764790764790765
aggregated_ranked_features_gas-N2_keep-N2_post-prestimulus,mean,25,test,0.7954545454545454,0.7901430842607313
aggregated_ranked_features_gas-N2_keep-N2_post-prestimulus,mean,26,train,1.0,1.0
