,,0,1,2,3
val,0,47,9,0,18
val,1,9,44,0,6
val,2,3,2,9,11
val,3,39,23,8,88
test,0,30,14,2,22
test,1,0,21,0,1
test,2,20,8,6,10
test,3,24,6,2,102
