,precision,recall,f1-score,support
CO2_post,0.47959183673469385,0.6351351351351351,0.5465116279069767,74.0
N2_post,0.5641025641025641,0.7457627118644068,0.6423357664233577,59.0
O3_post,0.5294117647058824,0.36,0.42857142857142855,25.0
prestimulus,0.7154471544715447,0.5569620253164557,0.6263345195729537,158.0
accuracy,0.5949367088607594,0.5949367088607594,0.5949367088607594,0.5949367088607594
macro avg,0.5721383300036712,0.5744649680789994,0.5609383356186792,316.0
weighted avg,0.6172398472296511,0.5949367088607594,0.5949835775028696,316.0
test_accuracy,0.5932835820895522,0.5932835820895522,0.5932835820895522,268.0
train_accuracy,1.0,1.0,1.0,1324.0
