fold,train,val,test
0,1.0,0.6360759493670886,0.6156716417910447
1,1.0,0.7013422818791947,0.5955056179775281
2,1.0,0.6643835616438356,0.5154639175257731
3,1.0,0.6746575342465754,0.5338541666666666
4,1.0,0.6551724137931034,0.47715736040609136
5,1.0,0.6859756097560976,0.5721153846153846
6,1.0,0.7346938775510204,0.4650537634408602
