rank,mrmr_mean,mrmr_max,combined_mrmr,jmi,cmim
421,"value__fft_coefficient__attr_""real""__coeff_79",value__ar_coefficient__coeff_10__k_10,value__sample_entropy,"value__fft_coefficient__attr_""abs""__coeff_30","value__fft_coefficient__attr_""abs""__coeff_34"
422,"value__fft_coefficient__attr_""real""__coeff_65","value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.6",value__ar_coefficient__coeff_4__k_10,"value__fft_coefficient__attr_""abs""__coeff_31","value__fft_coefficient__attr_""abs""__coeff_35"
423,"value__augmented_dickey_fuller__attr_""pvalue""__autolag_""AIC""","value__fft_coefficient__attr_""angle""__coeff_16","value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.0","value__fft_coefficient__attr_""abs""__coeff_32","value__fft_coefficient__attr_""abs""__coeff_36"
424,"value__fft_coefficient__attr_""abs""__coeff_68","value__fft_coefficient__attr_""angle""__coeff_94","value__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""var""","value__fft_coefficient__attr_""abs""__coeff_33","value__fft_coefficient__attr_""abs""__coeff_37"
425,"value__fft_coefficient__attr_""real""__coeff_92","value__fft_coefficient__attr_""angle""__coeff_57",value__quantile__q_0.9,"value__fft_coefficient__attr_""abs""__coeff_34","value__fft_coefficient__attr_""abs""__coeff_38"
426,"value__cwt_coefficients__coeff_4__w_10__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""imag""__coeff_9","value__fft_coefficient__attr_""abs""__coeff_28","value__fft_coefficient__attr_""abs""__coeff_35","value__fft_coefficient__attr_""abs""__coeff_39"
427,"value__fft_coefficient__attr_""abs""__coeff_28","value__fft_coefficient__attr_""abs""__coeff_82","value__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.2","value__fft_coefficient__attr_""abs""__coeff_36","value__fft_coefficient__attr_""abs""__coeff_40"
428,"value__fft_coefficient__attr_""imag""__coeff_39","value__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.0",value__energy_ratio_by_chunks__num_segments_10__segment_focus_9,"value__fft_coefficient__attr_""abs""__coeff_37","value__fft_coefficient__attr_""abs""__coeff_41"
429,"value__augmented_dickey_fuller__attr_""teststat""__autolag_""AIC""","value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""var""","value__fft_coefficient__attr_""angle""__coeff_10","value__fft_coefficient__attr_""abs""__coeff_38","value__fft_coefficient__attr_""abs""__coeff_42"
430,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.2__ql_0.0","value__fft_coefficient__attr_""imag""__coeff_5","value__fft_coefficient__attr_""imag""__coeff_49","value__fft_coefficient__attr_""abs""__coeff_39","value__fft_coefficient__attr_""abs""__coeff_43"
431,"value__fft_coefficient__attr_""abs""__coeff_36","value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""min""",value__autocorrelation__lag_4,"value__fft_coefficient__attr_""abs""__coeff_40","value__fft_coefficient__attr_""abs""__coeff_44"
432,"value__fft_coefficient__attr_""real""__coeff_5","value__fft_coefficient__attr_""imag""__coeff_28","value__fft_coefficient__attr_""imag""__coeff_24","value__fft_coefficient__attr_""abs""__coeff_41","value__fft_coefficient__attr_""abs""__coeff_45"
433,value__approximate_entropy__m_2__r_0.5,"value__fft_aggregated__aggtype_""centroid""","value__cwt_coefficients__coeff_5__w_5__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""abs""__coeff_42","value__fft_coefficient__attr_""abs""__coeff_46"
434,value__mean,"value__fft_coefficient__attr_""abs""__coeff_84","value__fft_coefficient__attr_""real""__coeff_6","value__fft_coefficient__attr_""abs""__coeff_43","value__fft_coefficient__attr_""abs""__coeff_47"
435,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.4__ql_0.0","value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4","value__fft_coefficient__attr_""imag""__coeff_95","value__fft_coefficient__attr_""abs""__coeff_44","value__fft_coefficient__attr_""abs""__coeff_48"
436,"value__fft_coefficient__attr_""abs""__coeff_63",value__ratio_beyond_r_sigma__r_5,"value__fft_coefficient__attr_""abs""__coeff_11","value__fft_coefficient__attr_""abs""__coeff_45","value__fft_coefficient__attr_""abs""__coeff_49"
437,"value__fft_coefficient__attr_""angle""__coeff_72",value__spkt_welch_density__coeff_8,value__autocorrelation__lag_7,"value__fft_coefficient__attr_""abs""__coeff_46","value__fft_coefficient__attr_""abs""__coeff_50"
438,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.4",value__number_crossing_m__m_1,"value__fft_coefficient__attr_""real""__coeff_55","value__fft_coefficient__attr_""abs""__coeff_47","value__fft_coefficient__attr_""abs""__coeff_51"
439,value__approximate_entropy__m_2__r_0.1,value__ar_coefficient__coeff_9__k_10,"value__fft_coefficient__attr_""abs""__coeff_20","value__fft_coefficient__attr_""abs""__coeff_48","value__fft_coefficient__attr_""abs""__coeff_52"
440,value__length,"value__fft_coefficient__attr_""angle""__coeff_36","value__fft_coefficient__attr_""real""__coeff_25","value__fft_coefficient__attr_""abs""__coeff_49","value__fft_coefficient__attr_""abs""__coeff_53"
441,"value__fft_coefficient__attr_""abs""__coeff_6","value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""max""",value__ratio_beyond_r_sigma__r_2.5,"value__fft_coefficient__attr_""abs""__coeff_50","value__fft_coefficient__attr_""abs""__coeff_54"
