source,approach,n_features,split,accuracy
multivariate_ranked_features,mrmr_mean,30,train,0.7543720190779014
multivariate_ranked_features,mrmr_mean,30,val,0.6487341772151899
multivariate_ranked_features,mrmr_mean,30,test,0.5522388059701493
multivariate_ranked_features,mrmr_mean,31,train,0.7583465818759937
multivariate_ranked_features,mrmr_mean,31,val,0.6424050632911392
multivariate_ranked_features,mrmr_mean,31,test,0.5335820895522388
multivariate_ranked_features,mrmr_mean,32,train,0.7575516693163752
multivariate_ranked_features,mrmr_mean,32,val,0.629746835443038
multivariate_ranked_features,mrmr_mean,32,test,0.5634328358208955
multivariate_ranked_features,mrmr_mean,33,train,0.7583465818759937
multivariate_ranked_features,mrmr_mean,33,val,0.6329113924050633
multivariate_ranked_features,mrmr_mean,33,test,0.5634328358208955
multivariate_ranked_features,mrmr_mean,34,train,0.7670906200317965
multivariate_ranked_features,mrmr_mean,34,val,0.6265822784810127
multivariate_ranked_features,mrmr_mean,34,test,0.5634328358208955
multivariate_ranked_features,mrmr_mean,35,train,0.7702702702702703
multivariate_ranked_features,mrmr_mean,35,val,0.620253164556962
multivariate_ranked_features,mrmr_mean,35,test,0.5597014925373134
multivariate_ranked_features,mrmr_mean,36,train,0.7718600953895072
multivariate_ranked_features,mrmr_mean,36,val,0.629746835443038
multivariate_ranked_features,mrmr_mean,36,test,0.582089552238806
multivariate_ranked_features,mrmr_mean,37,train,0.7631160572337043
multivariate_ranked_features,mrmr_mean,37,val,0.6139240506329114
multivariate_ranked_features,mrmr_mean,37,test,0.582089552238806
multivariate_ranked_features,mrmr_mean,38,train,0.7798092209856916
multivariate_ranked_features,mrmr_mean,38,val,0.6424050632911392
multivariate_ranked_features,mrmr_mean,38,test,0.582089552238806
multivariate_ranked_features,mrmr_mean,39,train,0.7798092209856916
multivariate_ranked_features,mrmr_mean,39,val,0.6424050632911392
multivariate_ranked_features,mrmr_mean,39,test,0.582089552238806
multivariate_ranked_features,mrmr_mean,40,train,0.7774244833068362
multivariate_ranked_features,mrmr_mean,40,val,0.620253164556962
multivariate_ranked_features,mrmr_mean,40,test,0.5708955223880597
multivariate_ranked_features,mrmr_mean,41,train,0.7742448330683624
multivariate_ranked_features,mrmr_mean,41,val,0.6392405063291139
multivariate_ranked_features,mrmr_mean,41,test,0.582089552238806
multivariate_ranked_features,mrmr_mean,42,train,0.7726550079491256
multivariate_ranked_features,mrmr_mean,42,val,0.6234177215189873
multivariate_ranked_features,mrmr_mean,42,test,0.5746268656716418
multivariate_ranked_features,mrmr_mean,43,train,0.7790143084260731
multivariate_ranked_features,mrmr_mean,43,val,0.6455696202531646
multivariate_ranked_features,mrmr_mean,43,test,0.582089552238806
multivariate_ranked_features,mrmr_mean,44,train,0.7821939586645469
multivariate_ranked_features,mrmr_mean,44,val,0.6613924050632911
multivariate_ranked_features,mrmr_mean,44,test,0.582089552238806
multivariate_ranked_features,mrmr_mean,45,train,0.775039745627981
multivariate_ranked_features,mrmr_mean,45,val,0.6360759493670886
multivariate_ranked_features,mrmr_mean,45,test,0.5708955223880597
multivariate_ranked_features,mrmr_mean,46,train,0.7798092209856916
multivariate_ranked_features,mrmr_mean,46,val,0.6424050632911392
multivariate_ranked_features,mrmr_mean,46,test,0.582089552238806
multivariate_ranked_features,mrmr_mean,47,train,0.7718600953895072
multivariate_ranked_features,mrmr_mean,47,val,0.6487341772151899
multivariate_ranked_features,mrmr_mean,47,test,0.5634328358208955
multivariate_ranked_features,mrmr_mean,48,train,0.7853736089030207
multivariate_ranked_features,mrmr_mean,48,val,0.6424050632911392
multivariate_ranked_features,mrmr_mean,48,test,0.5708955223880597
multivariate_ranked_features,mrmr_mean,49,train,0.7742448330683624
multivariate_ranked_features,mrmr_mean,49,val,0.6392405063291139
multivariate_ranked_features,mrmr_mean,49,test,0.5746268656716418
multivariate_ranked_features,mrmr_mean,50,train,0.7821939586645469
multivariate_ranked_features,mrmr_mean,50,val,0.6329113924050633
multivariate_ranked_features,mrmr_mean,50,test,0.5634328358208955
multivariate_ranked_features,mrmr_mean,51,train,0.7861685214626392
multivariate_ranked_features,mrmr_mean,51,val,0.6424050632911392
multivariate_ranked_features,mrmr_mean,51,test,0.585820895522388
multivariate_ranked_features,mrmr_mean,52,train,0.7861685214626392
multivariate_ranked_features,mrmr_mean,52,val,0.6424050632911392
multivariate_ranked_features,mrmr_mean,52,test,0.585820895522388
multivariate_ranked_features,mrmr_mean,53,train,0.7774244833068362
multivariate_ranked_features,mrmr_mean,53,val,0.6329113924050633
multivariate_ranked_features,mrmr_mean,53,test,0.5671641791044776
multivariate_ranked_features,mrmr_mean,54,train,0.7869634340222575
multivariate_ranked_features,mrmr_mean,54,val,0.629746835443038
multivariate_ranked_features,mrmr_mean,54,test,0.582089552238806
multivariate_ranked_features,mrmr_mean,55,train,0.7972972972972973
multivariate_ranked_features,mrmr_mean,55,val,0.620253164556962
multivariate_ranked_features,mrmr_mean,55,test,0.5708955223880597
multivariate_ranked_features,mrmr_mean,56,train,0.7925278219395866
multivariate_ranked_features,mrmr_mean,56,val,0.6075949367088608
multivariate_ranked_features,mrmr_mean,56,test,0.5671641791044776
multivariate_ranked_features,mrmr_mean,57,train,0.794912559618442
multivariate_ranked_features,mrmr_mean,57,val,0.6234177215189873
multivariate_ranked_features,mrmr_mean,57,test,0.5634328358208955
multivariate_ranked_features,mrmr_mean,58,train,0.7988871224165341
multivariate_ranked_features,mrmr_mean,58,val,0.6107594936708861
multivariate_ranked_features,mrmr_mean,58,test,0.5746268656716418
multivariate_ranked_features,mrmr_mean,59,train,0.8028616852146264
multivariate_ranked_features,mrmr_mean,59,val,0.620253164556962
multivariate_ranked_features,mrmr_mean,59,test,0.5597014925373134
multivariate_ranked_features,mrmr_mean,60,train,0.7972972972972973
multivariate_ranked_features,mrmr_mean,60,val,0.6170886075949367
multivariate_ranked_features,mrmr_mean,60,test,0.5671641791044776
multivariate_ranked_features,mrmr_mean,61,train,0.8076311605723371
multivariate_ranked_features,mrmr_mean,61,val,0.6234177215189873
multivariate_ranked_features,mrmr_mean,61,test,0.5671641791044776
multivariate_ranked_features,mrmr_mean,62,train,0.7988871224165341
multivariate_ranked_features,mrmr_mean,62,val,0.6234177215189873
multivariate_ranked_features,mrmr_mean,62,test,0.5559701492537313
multivariate_ranked_features,mrmr_mean,63,train,0.8044515103338633
multivariate_ranked_features,mrmr_mean,63,val,0.620253164556962
multivariate_ranked_features,mrmr_mean,63,test,0.5522388059701493
multivariate_ranked_features,mrmr_mean,64,train,0.8116057233704292
multivariate_ranked_features,mrmr_mean,64,val,0.6170886075949367
multivariate_ranked_features,mrmr_mean,64,test,0.5522388059701493
multivariate_ranked_features,mrmr_mean,65,train,0.809220985691574
multivariate_ranked_features,mrmr_mean,65,val,0.6139240506329114
multivariate_ranked_features,mrmr_mean,65,test,0.5597014925373134
multivariate_ranked_features,mrmr_mean,66,train,0.809220985691574
multivariate_ranked_features,mrmr_mean,66,val,0.6329113924050633
multivariate_ranked_features,mrmr_mean,66,test,0.5597014925373134
multivariate_ranked_features,mrmr_mean,67,train,0.8076311605723371
multivariate_ranked_features,mrmr_mean,67,val,0.6360759493670886
multivariate_ranked_features,mrmr_mean,67,test,0.5559701492537313
multivariate_ranked_features,mrmr_mean,68,train,0.8100158982511924
multivariate_ranked_features,mrmr_mean,68,val,0.6392405063291139
multivariate_ranked_features,mrmr_mean,68,test,0.5746268656716418
multivariate_ranked_features,mrmr_mean,69,train,0.8108108108108109
multivariate_ranked_features,mrmr_mean,69,val,0.620253164556962
multivariate_ranked_features,mrmr_mean,69,test,0.5559701492537313
multivariate_ranked_features,mrmr_mean,70,train,0.8108108108108109
multivariate_ranked_features,mrmr_mean,70,val,0.6139240506329114
multivariate_ranked_features,mrmr_mean,70,test,0.5671641791044776
multivariate_ranked_features,mrmr_mean,71,train,0.8084260731319555
multivariate_ranked_features,mrmr_mean,71,val,0.6234177215189873
multivariate_ranked_features,mrmr_mean,71,test,0.5783582089552238
multivariate_ranked_features,mrmr_mean,72,train,0.8052464228934817
multivariate_ranked_features,mrmr_mean,72,val,0.6265822784810127
multivariate_ranked_features,mrmr_mean,72,test,0.5708955223880597
multivariate_ranked_features,mrmr_mean,73,train,0.8179650238473768
multivariate_ranked_features,mrmr_mean,73,val,0.6234177215189873
multivariate_ranked_features,mrmr_mean,73,test,0.5708955223880597
multivariate_ranked_features,mrmr_mean,74,train,0.809220985691574
multivariate_ranked_features,mrmr_mean,74,val,0.6170886075949367
multivariate_ranked_features,mrmr_mean,74,test,0.5708955223880597
multivariate_ranked_features,mrmr_mean,75,train,0.8203497615262321
multivariate_ranked_features,mrmr_mean,75,val,0.629746835443038
multivariate_ranked_features,mrmr_mean,75,test,0.5597014925373134
multivariate_ranked_features,mrmr_mean,76,train,0.8076311605723371
multivariate_ranked_features,mrmr_mean,76,val,0.6329113924050633
multivariate_ranked_features,mrmr_mean,76,test,0.5783582089552238
multivariate_ranked_features,mrmr_mean,77,train,0.8139904610492846
multivariate_ranked_features,mrmr_mean,77,val,0.6234177215189873
multivariate_ranked_features,mrmr_mean,77,test,0.5634328358208955
multivariate_ranked_features,mrmr_mean,78,train,0.8163751987281399
multivariate_ranked_features,mrmr_mean,78,val,0.6265822784810127
multivariate_ranked_features,mrmr_mean,78,test,0.5522388059701493
multivariate_ranked_features,mrmr_mean,79,train,0.8124006359300477
multivariate_ranked_features,mrmr_mean,79,val,0.620253164556962
multivariate_ranked_features,mrmr_mean,79,test,0.5597014925373134
multivariate_ranked_features,mrmr_mean,80,train,0.8124006359300477
multivariate_ranked_features,mrmr_mean,80,val,0.6265822784810127
multivariate_ranked_features,mrmr_mean,80,test,0.5522388059701493
multivariate_ranked_features,mrmr_mean,81,train,0.8108108108108109
multivariate_ranked_features,mrmr_mean,81,val,0.620253164556962
multivariate_ranked_features,mrmr_mean,81,test,0.5671641791044776
multivariate_ranked_features,mrmr_mean,82,train,0.8171701112877583
multivariate_ranked_features,mrmr_mean,82,val,0.6139240506329114
multivariate_ranked_features,mrmr_mean,82,test,0.5559701492537313
multivariate_ranked_features,mrmr_mean,83,train,0.8163751987281399
multivariate_ranked_features,mrmr_mean,83,val,0.6329113924050633
multivariate_ranked_features,mrmr_mean,83,test,0.582089552238806
multivariate_ranked_features,mrmr_mean,84,train,0.814785373608903
multivariate_ranked_features,mrmr_mean,84,val,0.6139240506329114
multivariate_ranked_features,mrmr_mean,84,test,0.5559701492537313
multivariate_ranked_features,mrmr_mean,85,train,0.821939586645469
multivariate_ranked_features,mrmr_mean,85,val,0.6044303797468354
multivariate_ranked_features,mrmr_mean,85,test,0.5634328358208955
multivariate_ranked_features,mrmr_mean,86,train,0.8203497615262321
multivariate_ranked_features,mrmr_mean,86,val,0.620253164556962
multivariate_ranked_features,mrmr_mean,86,test,0.5783582089552238
multivariate_ranked_features,mrmr_mean,87,train,0.8179650238473768
multivariate_ranked_features,mrmr_mean,87,val,0.6329113924050633
multivariate_ranked_features,mrmr_mean,87,test,0.5559701492537313
multivariate_ranked_features,mrmr_mean,88,train,0.8155802861685215
multivariate_ranked_features,mrmr_mean,88,val,0.6075949367088608
multivariate_ranked_features,mrmr_mean,88,test,0.5485074626865671
multivariate_ranked_features,mrmr_mean,89,train,0.8179650238473768
multivariate_ranked_features,mrmr_mean,89,val,0.5949367088607594
multivariate_ranked_features,mrmr_mean,89,test,0.5410447761194029
multivariate_ranked_features,mrmr_mean,90,train,0.8211446740858506
multivariate_ranked_features,mrmr_mean,90,val,0.6075949367088608
multivariate_ranked_features,mrmr_mean,90,test,0.5559701492537313
multivariate_ranked_features,mrmr_mean,91,train,0.8211446740858506
multivariate_ranked_features,mrmr_mean,91,val,0.6075949367088608
multivariate_ranked_features,mrmr_mean,91,test,0.5447761194029851
multivariate_ranked_features,mrmr_mean,92,train,0.8211446740858506
multivariate_ranked_features,mrmr_mean,92,val,0.6139240506329114
multivariate_ranked_features,mrmr_mean,92,test,0.5447761194029851
multivariate_ranked_features,mrmr_mean,93,train,0.8187599364069952
multivariate_ranked_features,mrmr_mean,93,val,0.6075949367088608
multivariate_ranked_features,mrmr_mean,93,test,0.5522388059701493
multivariate_ranked_features,mrmr_mean,94,train,0.8235294117647058
multivariate_ranked_features,mrmr_mean,94,val,0.6360759493670886
multivariate_ranked_features,mrmr_mean,94,test,0.5485074626865671
multivariate_ranked_features,mrmr_mean,95,train,0.8235294117647058
multivariate_ranked_features,mrmr_mean,95,val,0.6360759493670886
multivariate_ranked_features,mrmr_mean,95,test,0.5485074626865671
multivariate_ranked_features,mrmr_mean,96,train,0.8298887122416534
multivariate_ranked_features,mrmr_mean,96,val,0.6329113924050633
multivariate_ranked_features,mrmr_mean,96,test,0.5485074626865671
multivariate_ranked_features,mrmr_mean,97,train,0.8314785373608903
multivariate_ranked_features,mrmr_mean,97,val,0.629746835443038
multivariate_ranked_features,mrmr_mean,97,test,0.5447761194029851
multivariate_ranked_features,mrmr_mean,98,train,0.8259141494435612
multivariate_ranked_features,mrmr_mean,98,val,0.6360759493670886
multivariate_ranked_features,mrmr_mean,98,test,0.5559701492537313
multivariate_ranked_features,mrmr_mean,99,train,0.8259141494435612
multivariate_ranked_features,mrmr_mean,99,val,0.6360759493670886
multivariate_ranked_features,mrmr_mean,99,test,0.5559701492537313
multivariate_ranked_features,mrmr_mean,100,train,0.8322734499205088
multivariate_ranked_features,mrmr_mean,100,val,0.6139240506329114
multivariate_ranked_features,mrmr_mean,100,test,0.5559701492537313
multivariate_ranked_features,mrmr_mean,101,train,0.8298887122416534
multivariate_ranked_features,mrmr_mean,101,val,0.6265822784810127
multivariate_ranked_features,mrmr_mean,101,test,0.5559701492537313
multivariate_ranked_features,mrmr_mean,102,train,0.8354531001589826
multivariate_ranked_features,mrmr_mean,102,val,0.6139240506329114
multivariate_ranked_features,mrmr_mean,102,test,0.5671641791044776
multivariate_ranked_features,mrmr_mean,103,train,0.8394276629570747
multivariate_ranked_features,mrmr_mean,103,val,0.6392405063291139
multivariate_ranked_features,mrmr_mean,103,test,0.5559701492537313
multivariate_ranked_features,mrmr_mean,104,train,0.8330683624801272
multivariate_ranked_features,mrmr_mean,104,val,0.6170886075949367
multivariate_ranked_features,mrmr_mean,104,test,0.5708955223880597
multivariate_ranked_features,mrmr_mean,105,train,0.8298887122416534
multivariate_ranked_features,mrmr_mean,105,val,0.6265822784810127
multivariate_ranked_features,mrmr_mean,105,test,0.5671641791044776
multivariate_ranked_features,mrmr_mean,106,train,0.8330683624801272
multivariate_ranked_features,mrmr_mean,106,val,0.629746835443038
multivariate_ranked_features,mrmr_mean,106,test,0.5708955223880597
multivariate_ranked_features,mrmr_mean,107,train,0.834658187599364
