,precision,recall,f1-score,support
CO2_post,0.6585365853658537,0.5869565217391305,0.6206896551724138,92.0
N2_post,0.7575757575757576,0.625,0.684931506849315,40.0
O3_post,0.46153846153846156,0.8571428571428571,0.6,14.0
prestimulus,0.7019867549668874,0.726027397260274,0.7138047138047138,146.0
accuracy,0.6746575342465754,0.6746575342465754,0.6746575342465754,0.6746575342465754
macro avg,0.6449093898617401,0.6987816940355653,0.6548564689566106,292.0
weighted avg,0.6843835645321674,0.6746575342465754,0.6750554683743935,292.0
test_accuracy,0.5338541666666666,0.5338541666666666,0.5338541666666666,384.0
train_accuracy,1.0,1.0,1.0,2332.0
